FechaProgramacion,Fabrica,Seccion,Linea,Equipo,TiempoPNP
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,46
16/8/2018,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,46
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,15
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,15
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,15
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,15
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,15
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,15
29/6/2018,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,15
25/7/2018,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,15
